t_s,target_rad,theta,omega,accel,jerk,isExec,cruiseN,skipAccel
3.407000,0.6981317,0.2459299,0.1309813,-0.0000000,0.0830839,1,0,0
3.408000,0.6981317,0.2460608,0.1309813,-0.0000000,0.0830839,1,0,0
3.409000,0.6981317,0.2461918,0.1309813,-0.0000000,0.0830839,1,0,0
3.410000,0.6981317,0.2463228,0.1309813,-0.0000000,0.0830839,1,0,0
3.411000,0.6981317,0.2464538,0.1309813,-0.0000000,0.0830839,1,0,0
3.412000,0.6981317,0.2465848,0.1309813,-0.0000000,0.0830839,1,0,0
3.413000,0.6981317,0.2467157,0.1309813,-0.0000000,0.0830839,1,0,0
3.414000,0.6981317,0.2468467,0.1309813,-0.0000000,0.0830839,1,0,0
3.415000,0.6981317,0.2469777,0.1309813,-0.0000000,0.0830839,1,0,0
3.416000,0.6981317,0.2471087,0.1309813,-0.0000000,0.0830839,1,0,0
3.417000,0.6981317,0.2472397,0.1309813,-0.0000000,0.0830839,1,0,0
3.418000,0.6981317,0.2473706,0.1309813,-0.0000000,0.0830839,1,0,0
3.419000,0.6981317,0.2475016,0.1309813,-0.0000000,0.0830839,1,0,0
3.420000,0.6981317,0.2476326,0.1309813,-0.0000000,0.0830839,1,0,0
3.421000,0.6981317,0.2477636,0.1309813,-0.0000000,0.0830839,1,0,0
3.422000,0.6981317,0.2478946,0.1309813,-0.0000000,0.0830839,1,0,0
3.423000,0.6981317,0.2480256,0.1309813,-0.0000000,0.0830839,1,0,0
3.424000,0.6981317,0.2481565,0.1309813,-0.0000000,0.0830839,1,0,0
3.425000,0.6981317,0.2482875,0.1309813,-0.0000000,0.0830839,1,0,0
3.426000,0.6981317,0.2484185,0.1309813,-0.0000000,0.0830839,1,0,0
3.427000,0.6981317,0.2485495,0.1309813,-0.0000000,0.0830839,1,0,0
3.428000,0.6981317,0.2486805,0.1309813,-0.0000000,0.0830839,1,0,0
3.429000,0.6981317,0.2488114,0.1309813,-0.0000000,0.0830839,1,0,0
3.430000,0.6981317,0.2489424,0.1309813,-0.0000000,0.0830839,1,0,0
3.431000,0.6981317,0.2490734,0.1309813,-0.0000000,0.0830839,1,0,0
3.432000,0.6981317,0.2492044,0.1309813,-0.0000000,0.0830839,1,0,0
3.433000,0.6981317,0.2493354,0.1309813,-0.0000000,0.0830839,1,0,0
3.434000,0.6981317,0.2494663,0.1309813,-0.0000000,0.0830839,1,0,0
3.435000,0.6981317,0.2495973,0.1309813,-0.0000000,0.0830839,1,0,0
3.436000,0.6981317,0.2497283,0.1309813,-0.0000000,0.0830839,1,0,0
3.437000,0.6981317,0.2498593,0.1309813,-0.0000000,0.0830839,1,0,0
3.438000,0.6981317,0.2499903,0.1309813,-0.0000000,0.0830839,1,0,0
3.439000,0.6981317,0.2501212,0.1309813,-0.0000000,0.0830839,1,0,0
3.440000,0.6981317,0.2502522,0.1309783,-0.0008941,0.0830839,1,0,0
3.441000,0.6981317,0.2503832,0.1309789,-0.0004470,0.0830839,1,0,0
3.442000,0.6981317,0.2505142,0.1309794,-0.0001699,0.0830839,1,0,0
3.443000,0.6981317,0.2506452,0.1309797,-0.0000072,0.0830839,1,0,0
3.444000,0.6981317,0.2507761,0.1309800,0.0000844,0.0830839,1,0,0
3.445000,0.6981317,0.2509071,0.1309803,0.0001306,0.0830839,1,0,0
3.446000,0.6981317,0.2510381,0.1309805,0.0001495,0.0830839,1,0,0
3.447000,0.6981317,0.2511691,0.1309806,0.0001494,0.0830839,1,0,0
3.448000,0.6981317,0.2513001,0.1309807,0.0001403,0.0830839,1,0,0
3.449000,0.6981317,0.2514310,0.1309808,0.0001251,0.0830839,1,0,0
3.450000,0.6981317,0.2515620,0.1309809,0.0001144,0.0830839,1,0,0
3.451000,0.6981317,0.2516930,0.1309810,0.0000979,0.0830839,1,0,0
3.452000,0.6981317,0.2518240,0.1309810,0.0000864,0.0830839,1,0,0
3.453000,0.6981317,0.2519550,0.1309811,0.0000694,0.0830839,1,0,0
3.454000,0.6981317,0.2520860,0.1309811,0.0000576,0.0830839,1,0,0
3.455000,0.6981317,0.2522169,0.1309811,0.0000492,0.0830839,1,0,0
3.456000,0.6981317,0.2523479,0.1309811,0.0000434,0.0830839,1,0,0
